"Configuration","Configuratie"
"Username","Gebruikersnaam"
"Public Key","Public Key"
"Private Key","Private Key"
"Mage One QPS Rules","Mage One QPS Regels"
"You can't create new rules, only edit existing ones.","Je kan geen nieuwe regels maken, alleen bestaande aanpassen."
"Identifier","Identifier"
"Validated URL pattern","Gevalideerd URL patroon"
"Type","Type"
"Name","Naam"
"Rule Content","Regel Inhoud"
"Target","Doel"
"Preprocess","Voorverwerken"
"Fixing Patch","Fixing Patch"
"Auto-Enable New Rules","Autom. activeren van nieuwe regels"
"Enable module","Module inschakelen"
"Enable new Rules automatically. Rules will be updated every hour via our API. (We recommend to enable rules manually after intensive testing)","Nieuwe regels automatisch inschakelen. Regels worden ieder uur via de API bijgewerkt. (We adviseren regels handmatig in te schakelen na uitvoerig testen.)"
"Your <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a> username","Je <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a> gebruikersnaam"
"Public key for encryption between API and store. This key can be copied from <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a>","Public key voor encryptie tussen API en winkel. Deze sleutel kan worden gekopieerd vanuit <a href=""https://my.mage-one.com/qps"" target=""_blank"">https://my.mage-one.com/qps</a>"
"You can only enable and disable a rule.","Je kan een regel alleen in- of uitschakelen"
"Rule Information","Regel Informatie"
"Save Rule","Regel opslaan"
"Edit Rule (ID: %s)","Regel aanpassen (ID: %s)"
"This rule no longer exists.","Deze regel bestaat niet meer."
"The rule has been saved.","De regel is opgeslagen."
"Unable to save this rule.","Kan deze regel niet opslaan."
"You can't create new rules. You can only change the status of existing rules.","Je kan geen nieuwe regels maken, alleen de status van bestaande regels aanpassen."
